"","Book_Name","Author","Rating","Reviews","Price_baht","Fiction"
"208","Steve Jobs","Walter Isaacson",4.6,7827,7827,"Non Fiction"
"209","Strange Planet (Strange Planet Series)","Nathan W. Pyle",4.9,9382,9382,"Fiction"
"210","StrengthsFinder 2.0","Gallup",4,5069,5069,"Non Fiction"
"211","Super Freakonomics: Global Cooling, Patriotic Prostitutes, and Why Suicide Bombers Should Buy Life Insurance","Steven D. Levitt",4.5,1583,1583,"Non Fiction"
"212","Switch: How to Change Things When Change Is Hard","Chip Heath",4.6,1907,1907,"Non Fiction"
"213","Sycamore Row (Jake Brigance)","John Grisham",4.5,23114,23114,"Fiction"
"214","Teach Like a Champion: 49 Techniques that Put Students on the Path to College","Doug Lemov",4.4,637,637,"Non Fiction"
"215","The 17 Day Diet: A Doctor's Plan Designed for Rapid Results","Mike Moreno",4.3,2314,2314,"Non Fiction"
"216","The 4 Hour Body: An Uncommon Guide to Rapid Fat Loss, Incredible Sex and Becoming Superhuman","Timothy Ferriss",4.3,4587,4587,"Non Fiction"
"217","The 5 Love Languages: The Secret to Love That Lasts","Gary Chapman",4.7,3477,3477,"Non Fiction"
"218","The 5 Love Languages: The Secret to Love that Lasts","Gary Chapman",4.8,25554,25554,"Non Fiction"
"219","The 5000 Year Leap","W. Cleon Skousen",4.8,1680,1680,"Non Fiction"
"220","The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change","Stephen R. Covey",4.6,9325,9325,"Non Fiction"
"221","The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change","Stephen R. Covey",4.7,4725,4725,"Non Fiction"
"222","The Alchemist","Paulo Coelho",4.7,35799,35799,"Fiction"
"223","The Amateur","Edward Klein",4.6,2580,2580,"Non Fiction"
"224","The Art of Racing in the Rain: A Novel","Garth Stein",4.7,11813,11813,"Fiction"
"225","The Big Short: Inside the Doomsday Machine","Michael Lewis",4.7,3536,3536,"Non Fiction"
"226","The Blood of Olympus (The Heroes of Olympus (5))","Rick Riordan",4.8,6600,6600,"Fiction"
"227","The Blood Sugar Solution: The UltraHealthy Program for Losing Weight, Preventing Disease, and Feeling Great Now!","Mark Hyman M.D.",4.2,1789,1789,"Non Fiction"
"228","The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma","Bessel van der Kolk M.D.",4.8,12361,12361,"Non Fiction"
"229","The Book of Basketball: The NBA According to The Sports Guy","Bill Simmons",4.7,858,858,"Non Fiction"
"230","The Book Thief","Markus Zusak",4.6,23148,23148,"Fiction"
"231","The Book with No Pictures","B. J. Novak",4.8,8081,8081,"Fiction"
"232","The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics","Daniel James Brown",4.8,23358,23358,"Non Fiction"
"233","The Casual Vacancy","J.K. Rowling",3.3,9372,9372,"Fiction"
"234","The China Study: The Most Comprehensive Study of Nutrition Ever Conducted And the Startling Implications for Diet…","Thomas Campbell",4.7,4633,4633,"Non Fiction"
"235","The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle","Amy Ramos",4.3,13061,13061,"Non Fiction"
"236","The Confession: A Novel","John Grisham",4.3,3523,3523,"Fiction"
"237","The Constitution of the United States","Delegates of the Constitutional<U+0085>",4.8,2774,2774,"Non Fiction"
"238","The Daily Show with Jon Stewart Presents Earth (The Book): A Visitor's Guide to the Human Race","Jon Stewart",4.4,440,440,"Non Fiction"
"239","The Day the Crayons Quit","Drew Daywalt",4.8,8922,8922,"Fiction"
